season,round,race_name,raw_retirement_rate,raw_retirement_lap_spread,raw_position_shuffle,raw_winner_grid,raw_podium_closeness,raw_neutralizations,q_retirement_rate,q_retirement_lap_spread,q_position_shuffle,q_winner_grid,q_podium_closeness,q_neutralizations,chaos_score,chaos_label,weirdness_score
2018,1,Australian Grand Prix,0.250000,0.143259,2.333333,1.386294,-6.309000,1.500000,0.866848,0.472826,0.307065,0.817935,0.804348,0.665761,80.0,Chaotic,53.0
2018,2,Bahrain Grand Prix,0.150000,0.273294,3.647059,0.693147,-6.512000,0.500000,0.557065,0.722826,0.763587,0.000000,0.798913,0.301630,59.5,Eventful,31.9
2018,3,Chinese Grand Prix,0.050000,0.000000,2.368421,1.945910,-9.637000,1.000000,0.146739,0.000000,0.323370,0.934783,0.668478,0.470109,42.7,Calm,57.3
2018,4,Azerbaijan Grand Prix,0.350000,0.383927,4.692308,1.098612,-4.024000,2.000000,0.983696,0.945652,0.951087,0.646739,0.896739,0.777174,99.5,Legendary,76.2
2018,5,Spanish Grand Prix,0.300000,0.286814,2.928571,0.693147,-26.873000,1.500000,0.937500,0.760870,0.565217,0.000000,0.228261,0.665761,60.0,Eventful,29.7
2018,6,Monaco Grand Prix,0.150000,0.108786,2.411765,0.693147,-17.013000,0.500000,0.557065,0.429348,0.336957,0.000000,0.451087,0.301630,30.8,Calm,3.2
2018,7,Canadian Grand Prix,0.150000,0.277297,2.000000,0.693147,-8.360000,1.000000,0.557065,0.733696,0.144022,0.000000,0.695652,0.470109,44.3,Calm,15.7
2018,8,French Grand Prix,0.250000,0.414064,2.600000,0.693147,-25.888000,1.500000,0.866848,0.978261,0.453804,0.000000,0.244565,0.665761,61.6,Eventful,51.9
2018,9,Austrian Grand Prix,0.300000,0.314414,4.071429,1.609438,-3.181000,0.500000,0.937500,0.815217,0.875000,0.891304,0.940217,0.301630,96.2,Legendary,90.3
2018,10,British Grand Prix,0.300000,0.285598,2.714286,1.098612,-3.652000,2.000000,0.937500,0.755435,0.494565,0.646739,0.913043,0.777174,91.9,Chaotic,38.9
